content,label
"Good app with good widgets one star deducted as I can't work out how to view completed tasks, dailies and habits",good
"I guess I love it as it kind of works? I mean this is as good as an app can get for it's purpose. It has the perfect amount of features and completely customizable. The biggest problem I have is at the beginning it's very challenging to keep alive (as you have no party/armour yet) and also as far as I'm aware I could only edit the order of the dailies, I wish they can be done to other sectors too.",good
Great app. I just wish there was a way to keep track of time on a task/habbit (built-in timer instead of having to open an external timer),good
"This app has been so helpful for me to be more productive, as i didnt take care kf myself before! i can't complain about anything, except sometimes when i first log in for the day, my dailies will be from yesterday and will take a minute to switch to today. I would love to see why so-and-so points are being deducted when you take damage from missed dailies! Like.... ""Clean (medium): -6 Health"" or something like that. I don't think I'll ever delete this app, and i look forward to any updates!",good
"it is fun. every time i get an egg/food/potion though, i have to drag down the spinning wheel to let it reload 😒",good
"The app version has so much more to improve. Aside from being buggy, a lot of features are still missing compared tovthe web version. Four stars because it helps me nonetheless. I wish the team best of luck and thank you for Habitica! ✨",good
"just started using and seems interesting, hope it'll help me to improve my life! one issue I have is that it does not give an option to sort to-do task by deadlines, which is better to see which tasks are urgent and not overlooked, hope there's an update to add this function!",good
"rlly good,just 4 for bugs.. but it's really good!!",good
"i cannot pin/unpin rewards after UI updated, plz fix it. i love this game😭",good
"with the new update, when you tap tasks or the eggs and hatching potions you have to close and reopen the app in order to get it to load. but otherwise the update is really cool",good
"App doesnt work without internet connection, everything else is great",good
"Excellent app, great habit tracker. I've found in this app an exciting way to be productive! There are some bugs and functionalities that need to be fixed, however, it's worth using it. I really recommend it.",good
to do list and reward system works for me when regular lists don't cut it. Chat in the app has a bug that keeps you from seeing what you are typing.,good
"Easiest way for me to use Habitica. Simple but motivating. I'm not sure if moving the plus button to the center was a good idea, it covers more of the text of the tasks there. Though it is a easy to forget that you need to pull down on the tasks section to see any changes in inventory/tables.",good
very help..,good
"Oh my goodness. I'm so sorry if I pressured you guys. I actually just listened to Thomas Frank's podcast with you guys from a few years ago and learned more about HabitRPG's history and its developers. I love how responsive you guys are unlike some other app developers. They didn't send me any feedback on an issue, neither did they try resolve it. Anyways, I'll just leave a 4-star so that you guys could be motivated to get a 5-star! Love your work! Shout out from the Ph.",good
"Make it easier to understand when you're activating quests. I didn't have anyone in my party by I was still somehow doing it and finished it by myself without realizing it. Make a design change/renaming so that there's something labeled ""start quest"". Still a fun and useful app. Growth is neverending",good
I am a big gamer and always found my self more motivated by games. thank you for making my life action list more fun and rewarding.,good
"Just downloaded the app.Loving the idea of adding my own habits & to do stuff which i used to tick off daily on notepad(uff) ,now I am glad its automated with rewards too!!.(yay!)Have a suggestion to make all sections of list tabs movable up/down (like the rewards section) to organise as per customisable preference.(-:)",good
"love the idea! but the execution is kind of clumsy. there's little to no guidance with regard to how parties or challenges work, and the rewards seem to be random at best. the graphics are adorable and the app definitely has potential though! but it would be more user friendly to streamline the app because it can be overwhelming with so many choices and options (i.e. mounts, food, eggs, etc) that seem mostly arbitrary.",good
Wonderful app.,good
"The app is great, but is it possible to see the tasks from your Group?",good
"How can I set it so that a task would show ""the remaining days until its due"" (like on the PC), rather than showing ""the date it's due""? I find the countdown of remaining days to be more useful than the date.",good
"Really enjoy the app, probably wouldnt recommend unless you have someone to do it with. Also, please set up a system of 'weekly' tasks, currently you can only set a daily that you complete once a week but it would be nice to have the flexibility of doing a task any day that week without being penalised.",good
"Great app, still getting in to and it looks like there is some content that is only accessible by paying real money but I really love the old school art style.",good
"I would have reported this as a bug within the app, but I found another bug when trying to do that. First one: when submitting a bug or feedback, it does not pass through the 'To' address into the email, so I'm not sure where to send it to. Second one: when editing a habit, daily or to-do text field, the keyboard pops up and disappears. A workaround on this (for my device) is to rotate the phone landscape. Using pixel 3. Otherwise, a very good app!",good
it really helps,good
widgets have disappeared?,good
"Guys - I really want to like this app more and give it 5 stars! Everything is there and I can see the work and effort that has gone into making it so thank you so much! But on Android the habits screen is quite buggy and won't let me adjust the streaks. The keyboard comes up but closes immediately so I can't do anything. The dailies work fine. I look forward to any updates you're planning but considering this is free, I think what you've achieved is great!",good
"We are using this as a group in my family and it honestly is helping us a lot with staying motivated. I have a difficult time with my anxiety and depression, but this app has helped me to feel a sense of accomplishment. I am experiencing inspiration a little more often and I have been struggling for years with this. There are some aspects I'm not entirely fond of that I hope will continue to be updated; however I'm grateful to the developers for making and keeping up with this!",good
"Great motivator, especially with the whole online and boss battle aspect. Far too pay to play, however.",good
I never enjoyed doing my todo list as much as this before! There are some bugs though...,good
Amazing App!!! But still you guys need make a lot of changes in UI for eg: I am unable to decide how much coins should i get with one positive And all task should reset at a specified time by user,good
Fantastic Habit Forming App! The staff is so kind and helpful. My reading skill and general cleanliness are castle improved. I love forming a party with friends and doing all the little quests together.,good
Great experience. This app has made me more productive and engaged! Love it,good
"I find it so hard fitting things in/remembering to do things, but this app makes it a breeze. Grateful to have it! 👏",good
Made productivity really fun.,good
Best gamification app.,good
awesome!,good
"Makes daily chores feel like a game. Habitica has this thing where you collect an extensive list of gears and animal companion when you complete tasks. I love collecting items, so choosing the rogue class out of the other 3 is probably the best choice for me. There's so much more to it too :)",good
I REALLY LOVE THIS APP. REALLY MULTIFUNCTION AND REALLY GOOD!!,good
Nice app tp start a new habit!,good
"Great idea, great app",good
Worked extremely well for me with getting organized and gamifying everyday tasks. Has a really helpful community.,good
Previous issue was fixed by developers. Thanks for getting back in a timely manner. Great application and is a fun way to keep yourself motivated. Being a gamer myself it is a nice change of pace to your traditional tracking app.,good
"Great app help helps me get stuff done compared to other so-called ""Adult"" "" serious, not childish"" app",good
"New UI design is amazing! Only one mistake... when I edit a task, the save button is not showing but I can click that...look into it. Edit: Its fixed now already, Thank you :)",good
"I love it :D I met great and fun people and this is the only to-do apps that really makes me do it or else I'll die oof. I love the concept and all but i kinda wish that there'll be more default costumes like the hair that is free, or some that can be bought by coins if possible. And maybe the background too? Anyways overall I love it, it was really effective for me. Keep up the good work, I'll look forward on it",good
"What would I do without this? Seriously. I don't know. This has honestly helped me work out, and floss. How dumb is that? I don't want to disappoint my party, so I have a certain amount of reps and chores to take care of every day. And darn it, I do them. I have 100% seen improvement in my muscle-mass. It seems... So weird. But this game/whatever you want to call it has started to make me buffer. And I love it.",good
"Best app I've used to help me stick with habits. They change colors, ranging from deep red to light blue, to show the how well you are doing with the habit. The support features and articles help you customize the app in many ways to fit your needs.",good
"This app is amazing! It's exactly what I need to keep track of my goals, cleaning tasks, and to-dos. The widgets were a game changer and allowed me to basically create my perfect bullet journal spread on my phone. And they already gameified it for me so I don't have to. Truly a blessing of an app.",good
"Habitica has been a massive positive push in my life. I dont make alot of game reviews, but i kinda felt like i had to for this one. I have adhd and it mainly affects my executive function which gives me alot of issues with procrastinating and putting things off and letting things like my personal hygiene and im ashamed to admit this, but the care for my animals go. Having a place to manage all that with an immediate repercussion, even if digital has been a wonderful motivator",good
"This app has helped my family and I maintain a daily routine despite the emotional rollercoaster that has been 2020. Updates sometimes cause bugs but they're rather charming & are quickly corrected. Whether you're using this solo, with irl friends, or ones you make through the app, habitica will help!",good
I wish it will be widget in next update Please,good
"Used to love this app, but recently, it's become very buggy. I can no longer use the check boxes for Dailies or To-Do's. Please fix this app. UPDATE: Appears that whatever bug occurred has been fixed.",good
I love this app! The new dark mode is great. You guys fix any problems really fast and listen to the people who use Habitica which I appreciate. Cheers!,good
"One of the most flexible productivity apps I have used. Works as a Habit tracker, daily reminder list, and a To-Do list, which is great if you want to have an overview of all these things inside a single app. Makes your tasks feel less overwhelming by keeping the theme light and fun. The devs add new content to it constantly and the community is able to create guilds and challenges, offering a more social experience than most other productivity apps.",good
"It's a nice to do list app for me. Separating things into habits, dailies, and to do's isn't something I really thought about. So it's helped me plan what I want a bit better. I just wish there was a late night mode where it acts as if it's yesterday so you can accurately reminesce about what you did that day. I usually plan things out at night. Also turning a to do into a nice grocery list would be nice too. Trying to put it in the notes of a to do doesn't really work since you can't check.",good
"Useful, needs a good internet connection (I can do banking and then find that my connection is not good enough for Habitica). I have used this for well over two years and, even at work, it's a nice boost to my feeling of accomplishment when I get things done. Great co-op with family, too. Very responsive Devs.",good
The best habit and to do list tracking app.,good
Increible! La mejor app para organizar tu vida!,good
This app saved my life,good
This makes me so much more productive!,good
This app changed my life,good
"I noticed how obsessive I was about getting an achievement in some video game..Like a new gun, module etc. I would grind for ages... I thought what if I did this kind of work in real life? I would be so far ahead! So I thought to look for a Gamification app. Habiticia fit perfectly. I'm using the same ""obsessed"" attitude and all my thousands of hours of childhood ""training"" I have to achieve in video games games for achieving my daily habits. Thank you, you saved me. Instant 1 year sub.",good
This is one of the best to do lists that I have used . Even Google's to do lists pales on comparison.I was surprised to find no constant ads or a pro mode which these things usually have. The widgets are almost perfect except for the hobbies make that 1x1 but it's a really good experience overall . I recommend using it . It helps a lot gamifying ur to do list makes you more eager to do them . Thank you for a to do list that is totally free . I definitely recommend this.,good
Quite fun. Actually started keeping up with good habits already just to hatch some pets,good
Idk why I still stop doing my habits,good
Phenomenal productivity application.,good
One of the few apps i can truly say that is life changing,good
"This app is amazing, truly. Sure, there are still minor bugs that existed from years ago when I started my first account, but the amount of progress it went through during that time period just shows how much the developers care and how much effort they've put (even just from the display!) in towards realizing this wonderful app for all of us who are looking to better our lives. Thank you so much!",good
"I absolutely love this app, it has helped me a lot organizing my time and creating positive habits!",good
"Edit: the app gets better with every update and I hadn't had any bugs for a while now. I absolutely love how it looks after the latest update - super clean and fresh. 5 stars and many thanks to the hardworking devs. Love habitica. I find the app often has one bug or another from update to update, so can't really give 5 stars, but the devs do a smashing job regardless so 4 stars from me.",good
Awesome stuff! I just wonder if its possible to have a choice for dates to be sorted from day/month/year since thats what im used to. Other than that great job!,good
"Thank you for the wonderful update. Been using the app for years. Because of the great update, I bought gems as gratitude to the developers. Thanks!",good
Wow new app ui is looking great,good
"Thank You for the Update, I have been waiting for dark mode since months. Best App Ever!!",good
"This app is really amazing! There are different categories to sort your tasks into to suit your particular needs. The RPG aspect is really well done: your productivity reflects on your avatar in a surprisingly immersive way. It's rich with a variety of items, equipment and cosmetic customisations for your avatar; the quest feature is a great way for people to socialise productively and hold each other accountable in a fun and creative way. I've never loved getting things done more!",good
"Love the new UI. Before, you can't look at tasks when offline. It's fixed now. You can also filter the tags.",good
Really helped with motivation,good
This app has been a game changer for productivity in my life. There is soooo much to do and explore.,good
"Amazing app, love it!",good
"I like this app. But currently there's a glitch which isn't letting me delete dailies and habits left over from older challenges which have been closed now. Please look into this. I tried re - installing, and using the website version, but nothing worked.",good
"Can't recommend it enough. Get a party, and you'll make friends super fast and get loooooads of motivation! NO ADS. No annoying popups. Only teamwork, motivation, and rpg magic. Perfect app. Can't thank it enough.",good
"This app helped me so much with acquiring and maintaining good habits! It's amazing, I adore it deeply, and will continue to support it 💛 I've bought a yearly subscription - totally worth it! This app is lovely, and developers deserve all of the praise they can get 💜💜💜 Love you guys, keep up an outstanding work!",good
The best way to help a nerd getting h*s tasks done! I use it everyday.,good
"Habitica isn't just helping me stay productive and organized, it's also really fun to use, and makes me want to do stuff I'd otherwise try to avoid. I love everything about the app, especially the social features like Guilds and Partys which make the whole experience even better.",good
Like it. It has items and you become a character that takes dmg and lvl up. Even got a pet. Love it,good
"I'm only a few days in, but I gotta say, this feels like virtual adderall. I'm excited to get things done now. My to-do list doesn't scare me anymore and I no longer deal with crippling anxiety about all the stuff I didn't do every night when I try to sleep. Definitely feels like I've ""hacked"" my reward system. Fingers crossed this isn't just a honeymoon period, because for the first time in ages I'm ENJOYING getting things done. No more stress - just dopamine.",good
Nice app finally some good frikin friends,good
Excelente para organização pessoal e ainda se diverte com o jogo,good
This app has already helped me so much and I got it a week ago!!,good
Great app that helps me keep organized and motivated. Fun spin on a to-do list!,good
Simplify your life with the leveling up system and - categorizing & organizations,good
"This is a very unique and interesting game, and it's really been helping me keep schedule during quarantine, which is amazing and really makes me happy, but it only gets four stars because sometimes it doesn't keep content. I used a royal purple hatching potion on one of my tiger eggs (I had two) and both items disappeared from my inventory but I didn't get my tiger, which is really disheartening. Very willing to fix this review if it suddenly shows up, but I don't think it will :[edit-fixed!!",good
nice app,good
Great app! Has kept me on track with my goals!,good
"The grindy gamer in me refuses to not be rich in coins buy in order to get coins, I need to finish tasks. I dont even feel like studying is studying anymore. Studying has become grinding for a game, making me want to do it more.",good
Awesome! The last time I used this app was about 3 years ago. Now I use it again and found the updates are amazing.,good
"The best habit forming tool ever, whether you pay any attention to the game aspect or not",good
"This app is great! I've only had it for a few days, and I'm addicted! It's so fun and helps to get rid of habits and create new ones, it helps me get things done. It's so cool! I love the fact that if you want something, you've got to earn it, and it makes you feel good about completing tasks! It doesn't always tell you to rate the app and/or share it which is another plus. 11/10, I do recommend!",good
"I love this app, it only app that keeps my interested. I love the to do list, habits and daily :) then if you want you have a change to challenge yourself. I wish they had a search bar to search up challenge, maybe a group and create group button and way to invite friends and become friends with your real friends so you can do challenges together but I would totally reccomend this app download it now you will not regret it :)",good
Best habit tracker app ever,good
"This app changed my life. Im more willing to do the hard parts of my day because I don't want to take more damage. Seriously, this app is a God send and I even subscribed!!",good
"I LOVE THIS APP VERY MUCH. When the quarantine started, I gained a few kilos, didn't exercise enough and would sit on my phone all day. When I found this app, I started to do things - even making habits that I want to have. Also, this app is also a semi-RPG game, so it's a really big plus. 5 stars, GUARANTEED.",good
This app combines all the features I've been looking for into one simple interface,good
I love this app as it actually help me to change habits.,good
Dame great app,good
"I am completely in love with this app. This app has changed my life completely. Which is why I want it to get even better. Here is a small recommendation. Make a 4 week calender system (A/B/C/D week) so that if you want to make a schedule where you take 1 day off after 3 days of work, It is completely possible to make a routine that will keep repeating itself. (4dayx7=4x7day) by simple math, once you get to 5th week, you are back to the same pattern as that of 1st week and so, the cycle goes on",good
Best productivity app ever.,good
This is a really fun and awesome why to help you sort your life with the bonus of dopmine fun things.,good
So far this seems super cool! I'm excited to try it more and leave a more informed review!,good
trying to be productive,good
"Just love this app,it's really awesome for managing your dailies and to-dos,for anyone who loves gamified version of work to be done this app is all yours ;)",good
Update made it working again... Hats off to the hard working Devs... Eager to try it....!!!👍,good
I love this so much,good
Love it! Such a brilliant idea and really well executed. One of the best apps I've ever used.,good
"One of the best apps that I've used so far... I'm a procrastinator, due to which my grades had suffered a lot... I came across this app on a site, and decided to give it a try... One of my best decisions",good
"I really really love this app. The gamifying is really good. And I especially love the guilds with various creative monthly challenges. Another pro is that most people don't spend too much time chatting. The chatting is limited to a healthy amount (cuz ppl r busy with tasks) and it is still social enough to provide enough encouragement, sharing of thoughts and pointless banter to take ur mind off stressful stuff .",good
This app has helped me in doing my tasks on time. It helps me to be more accountable and be more responsible enough. The gamified style kept me going as I see how much my character levels up.,good
Just like Solo Leveling,good
Best productivity app I've used!!!,good
"Excellent app!!! I would rate it 6/5 if calendar option somehow exist. Imagine you do have birds-eye view in days, weeks or even years. May not be a rating/review more kinda suggestions hehe. Admins and Developers great job! Salute to them for making this app awesome. :)",good
Great tool to develop new habits. I owe habitica a lot.,good
excellent app,good
By far the coolest darn app I have ever played in my life!! I love the whole concept of what is trying to be portrayed here. I doubt I'd actually be good at it because I kind of procrastinate on things a lot😂but it sure is fun already so maybe I've got a chance. But thank you developers for creating this. This can really help people towards their future😊🙏in the most bizarre but absolutely amazing and fun way🤗,good
Keeps me focused,good
"Love it. Pretty simple, and it helps me get things done, and even helped to break bad habits like sleeping wayyy too late and waking up at like 12PM. I haven't talked to other users all that much but from reading tavern messages, the community seems very helpful and supportive. I've been using Habitica for about a year now, and I plan to continue using it until I can finally get things done without having to be threatened by a party quest boss lol. 11/10",good
Very nice productivity rpg game,good
"This is the best! This inspired me to complete my tasks that I always seem to forget in doing. I also had fun at the same time! I really love the RPG-style theme. While using this I realized almost all rpg mechanism are in this but trading so I hope you guys put a trading system or item gifting or whatsoever in the next updates. Also, I wanna try becoming a subscriber for free so, hope you guys give me atleast a 1 mo trial hehe💖.",good
"I LOVE THIS APP. It helps me so much when I want to get something done, and when I need to do something daily, like take my vitamins, or wash the dishes. There are also so much nice people when you join guilds. 10/10 would recommend to a friend. Note: This app is way more helpful if you're into games, points, and competitiveness. (I'm very competitive 😅) But it's still super helpful even if you're not that interested in that stuff. Again, 10/10 would definitely recommend!",good
Actually for once in my life am getting stuff done lol,good
Awesome! I've become way more organized after starting to use this app. Absolutely loved it. Keep up the hard work dev.,good
It just works.,good
"Helped me get in control of my habits, helps me keep accountable! The setup allows me to select how difficult any task is and scales to it, very helpful",good
"I've only just started up, but this app has progressed so much since I last saw it! UI is really tidy and easy to use. It doesn't feel like everything is locked behind a paywall (though I plan to support). Tasks/rewards/etc. are easy to customize, so the game can be tailored to exactly what you need. I have ADHD, so an app that makes every task a fun/novel experience is fantastic. I'm hoping this becomes a well worn tool in my belt. Thanks to the devs for creating such a useful resource ❤",good
"Even without an RPG element, this app is robust enough to suit any of your habit tracking needs. Its ridiculous how much better this app is compared to other regular paid or unpaid habit trackers.",good
Really love this. I enjoy the complexity and the fact that you can buy 'rewards' for keeping up with stuff and that there and consequences for not doing your dailies.,good
"This app really changed my life. I was able to make my life work with this. I've been trying to get my life on track and out of depression, and this app showed me how. Now I am keeping my house clean, keeping up with my social life, doing homeschool with my kids, and keeping up with then 😊 I didn't think that was possible last year.",good
Its awesome,good
"Helps me SO much. Like seriously, commit to this, get into a ""party"" (kind of an online group for this rpg), and it may help you like it's helped me! I am really lazy so the progress I'm making is miraculous. It really kind of.. forces you to do what you need to do and it's my favorite mobile game there is. Hats off to the developers and anyone else involved!",good
"Amazing, creative and motivating. Kudos Designers love the Gameboy pixellated feel really made me nostalgic. Amazing app",good
"This app is very nice, it did help me",good
"Took me awhile to figure it out, the mechanics are interesting, the design is fun. It helps me build and quit some habits that i have been trying to.",good
Fun,good
"I've been using this as a motivation and self-rewarding To-Do list. It works, and there a lot of communities of people here! Ranging from LGBT to mental illness, it's great.",good
It just might be one of the best apps ever made. It has helped so much with my productivity and has such wonderful features. I love it!,good
I will reinstall this app,good
The app is really smart,good
Helps me turn my crippling depression into regular depression.,good
Thanks for free widget,good
I'm thoroughly enjoying this app so far. I've been a lot more productive and on point with my tasks as well as keeping up with my personal studies and hobbies. The game aspect has been great for me to hold accountability of my actions while finding joy in completing self-made goals and gaining experience and items.,good
Super fun way to keep up with tasks,good
It was amazing,good
"Great. I would recommend the following features: - Skills. When you work on a task, you could select which skills you will be working on. - A timer: keep track of how long you spent working on a task, and consequently on the skills. This would allow a summary of how long the player spent on each skill. - (maybe?) Skill trees. Being able to create publix skill trees for a project/hobby/etc... would be a very nice feature too.",good
"Very good app to help keep and develope new habits! Best gamification of tasks, habits and to do lists!",good
"It's hard to not get bored when I being serious on something. So, I always think that life is a game. And this is a great app that can help me to get rid from my boredom when I build my good habits. Thank you very much for the developer. 5 stars from me. 😊🤩",good
"Love the app so far. Great for motivation, but non-punishing, cute graphics, and lots of stuff to explore. Splitting up tasks by priority/type is awesome. It really has made everyday life feel more guided and fun! Would highly recommend for people who enjoy collecting, gaming, or seeing your progress add up. *One note is that sometimes, lists of tasks disappear/show tasks already completed. Closing and reopening fixes it, but would appreciate it if this bug was addressed.",good
Best productivity app,good
"The game aspect is fun, and can provide a little added motivation, but beyond that it's one of the best free to-do apps I've found. The organization is easy, and the breakdown of habits, daily (or other schedule) tasks on repeat, and a one time to-do list give much more depth than apps that claim to be more ""professional."" If you like the game-ify idea this app is great. If you want a solid, free task manager, ignore the cute icons and go with this one as well.",good
Very creative. and a good idea too!,good
Very usefull and fun,good
La actualicé hoy (22/07/2020) y se detiene cada vez que intento ver o darle de comer a mis mascotas. Por favor soluciónenlo 🙇,good
I'm here for the Ninja Cerebral,good
"Loving the app so far and has helped me stay on track with some chores and. My v small complaint is that the date is expressed wrong (for 90% of the world) as mm/dd/yy, wish I could change to dd/mm/yy, any way to change that setting on the horizon?",good
"The BEST app for motivation and tracking! Even putting the game aspect aside, I have never seen a more user-friendly app for habit/task tracking. I love how there are different categories for habits, tasks, and daily to-dos. It's customizable. Getting coins is motivation! Ive recommended it to everyone! Only thing I wish it had: a way to see your stats based on your missed to dos or frequency of habits. For instance: most health lost due to *blank* etc.",good
"It's been a week since I started using this, and I so already love this! Thanks!",good
Habitica is a lot of fun to use. It helps me more to be productive by applying RPG concept into my everyday tasks. The quests and collectibles are also fun to do - it is so rewarding.,good
"Habitica had helped me a lot in my efforts to improve my life. I've been using Habitica for 2 years now, and it really provide me with the motivation & support needed for me to achieve my objectives.",good
This is an awesome app idea for really anyone to use. Just a great app,good
Awesome app. Helps me keep track of my daily tasks and routine. I like the fun reward and punishment system in the form of an rpg game. Keep up the good work!,good
Great way to keep track of things to do on the computer and phone,good
"I didn't think this would work, but it really does help to build habits. The interface is pretty simple and easy to understand. The complexity grows over time. I'd really like a way to share to-dos with a group. Reward those for taking the initiative to take some of the teams shared tasks.",good
Super great!!,good
I seriously like it,good
Thank you this made a difference,good
"One of the best habit organisation apps and it gamifies on top, the only feature that I would really need is managing dailies in groups, like meals in group.....etc.",good
"What an adorable and inspirational app! I have actually done things I was considering putting off because I didn't want to lose too much life and thus important items I really need/like. I've even gotten my partner to download it! It also doesn't penalize you too harshly for ""falling off the wagon,"" so to speak, and not using it for some time. As in, days to YEARS. It's the perfect combination of motivational and understanding, which is the perfect recipe for success, at least for myself. 🤓",good
Really helps me to keep things organized and is a great way to keep myself on track!,good
Its great but I need to make a habit to use the app.,good
Just love it,good
"Does what it says, but unable to re-arrange the tasks to my liking via the app. Have to use the browser to do that.",good
Excellent for daily tasks and scheduling future ones,good
Life changing app. If you have any affinity to video games and want to better your life you're in the right place. This app saved me.,good
"Excellent app, they greatly improved the quality since last time I used it. I'm a user of the web page for 5 year now, and the app was a little outdated but know it is very complete and useful. Thank you!",good
"It sounds crazy but this app has basically changed my life. I'm more productive every day as this game motivates me to get my life together. I like how I can give myself credit even for the little things, the house chores no one will pay you to do or thank you for but that still need to be done. It can also be very social if you want it to be.",good
Amazing app.. One request from the developers.. This app is turning humans into better humans so 'the rouge' class should be renamed to 'the Ninja' or something as it affects the subconscious brain of users without even them noticing it..(this pure psychology) And this is how low of attraction works.. Never talk or think of things which you don't want in life.. You yourself would not want anyone to be Rouge. So please give 'ROUGE' SOME positive polish.. If you can. Only a humble suggestion.,good
"I have used this tool continuously since 2015 and it's a fun way to get yourself to do tasks that otherwise you might not be motivated to do. I've been a subscriber for almost two years. I would highly recommend Habitica, whether you prefer to do it all on your own, quest with others, take up challenges, or just keep track of your flossing. There's a lot to out and I've never gotten bored in almost five years.",good
Awesome. It really helps me to level up my life.,good
"Changed my life. The group feature, when you have a family, is a must have. Seeing our avatars morph and change while we level up our life, priceless. This app is worth it, it's one of the best decisions I've made for me and my children. They're excited to do chores, and I no longer procrastinate. I just can't recommend this app enough.",good
A good app. Love the concept. Helped me,good
This is the first time I found an app which can read my mind. This app really knows the scientific importance of reward. I really advice anyone to install this app and give it a try especially if you are a student.,good
It is awesome super helped me But I have a suggestion you can improve your chat session and to invite members to party you can make so we can explore users and invite them,good
I've never enjoyed accountability before this... Our whole family partied up and is having a blast PLAYING to do chores. Wonderful concept!,good
I'm really enjoying the fun parts about this game and hope that it continues to grow. Downside is the glasses and headband can't come off the avatar. So my character is stuck with them for awhile.,good
Super helpful for habits and breaking bad ones,good
"What an absolute boon. My boyfriend has ADHD and a love for video games--this app helps him remember and complete tasks much more easily than unengaging notes-app checklists. It really does wonders for motivation. Habitica is helping me survive grad school AND manage the mental load of day to day activities. I'm really excited for the new ""groups"" feature to be rolled out as well. Thank you so much Habitica!",good
Loving the app so far! Just a minor note: I can't seem to unequip my avatar's glasses or headband...,good
Awesome,good
This is great! After having played it for three days I was begging my mom for chores to do!,good
"Getting into it, following the mechanics and I feel motivated to do ans comolete stuff to earn Exp. I haven't used it much but I'm satisfied already. One small thing I can't choose to wear no glasses and I believe this is an unintentional error.",good
10 out 10 recommend for anyone who wants to stay organized and goal oriented without knowing you're doing it! This app is For beginners looking for a concept to start planing or motivating & go getters who want a fun and resourceful way to sort your goals and stay motivated.,good
"I love Habitica! I've used it for several years, both the browser version and the app. I love how simple it is and I love the social aspect! I've been able to make friends and find support through guilds, and my party really pushes each other to be our best and continually improve! This app has helped me focus on self care and get better grades in school. I'm building healthy habits and having fun with the creative quests and interactions! Habitica is amazing!",good
Has really helped me get more done and stay on task!,good
The best out there.,good
I love Habitica. It works to make the things I have to do at least somewhat rewarding and I can set fun goals for boring tasks.,good
"Great app. I don't even play video games but I love the set up of this application, the split into habits, dailies and tasks is perfect. The streaks and rewards are motivational, I like the capability to set reminders and being able to have a task list widget on my home page. I tried a couple other to do apps and none have kept me consistent besides this one.",good
"Great! No errors found, super useful, fun, good design, and small (I guess?). Super recommended!",good
"With your friends you can play this game. You progress by completing tasks you set for yourself. Often i see t the app and think, well, 10 pushups isn't that hard, might as well do it. Without the app i wouldn't have thought that. Set small tangible goals. It motivates me to do the things i want to do but can't get in the habit of doing.",good
Fantastic app.... I have tried many other productivity app and used to find it difficult to follow them every day. After I switched to this app.. it became all fun and I am getting motivated to complete the tasks as I earn rewards Suggestion to developer: I use browser version more than mobile app. please add reminder feature to browser version as well. Also please add auto date parser while adding the task. It will save a lot of time in entering the task. You ca take reference from ticktick app,good
"I love the interface, the overall concept and easiness of interface. Rewarding and fun to use, has helped me alot with my life goals!",good
The only app that really helped getting through my really busy schedule,good
Helpful and fun,good
"Love this app. If you need help sticking to a schedule, meeting goals, or want to better your life in any way this app is for you. Guilds and challenges promote productivity. Separate categories for habits (positive/negative), daily tasks, and to-dos keep the app structured. Wish there were more items and rpg aspects after reaching a certain level though.",good
"I love this app. It keeps me on track and I have fun while doing it. Whatever aspect of you daily life you want to improve, you can set tasks and goals to help you achieve it.! 💯🙋🌄",good
Really helped me stay on top of online classes this year!,good
"I love this app. It's helped me so much. There's only a few things that bother me about it, like how you can't change the order of dailies but besides that it's fantastic.",good
The best app for people with or without ADHD,good
"This app is fantastic! It helps to organize tasks and bring new positive habits into your life. And does it in a gamified, entertaining way. You should at least try it out!",good
Thank you,good
Very nice app. Let´s you make reminders and actually feel rewarded once you do it.,good
"The app has improved over the time I've been using it. There are a few things that would be useful to have. For example, the ability to search for challenges like in the website. On another point, this app has really helped me improve in different areas of my life.",good
Love love LOVE the idea behind this!,good
"The best app to become a better person and acheive your daily goals developing great habits! The whole community is cheerful and i may thank you for taking the time to develope such great considerate features for free, you've really helped us all 💖💖",good
"Please keep tinkering, and improving. Thank you for this app",good
"I love this app. It's amazing and has made me a bit more productive with the few days I've had it. I just wish there was some sort of game that comes with it. I know it isn't the point of the app, but I feel like if some sort of game was added, there would be more incentive to do all your tasks. I know it's probably just me who has this issue, but a game really would add a lot to the app (even a tiny one).",good
"App keeps crashing when launching, couldn't even get past the title screen. Edit: After signing into the website version, tried to install the app again and apparently it worked!",good
"WHY? Why my habit streaks keep disappearing every single day!? :( Edit: Thank you, developers! I didn't notice that option I love this app❤️",good
"So far the best productivity app, with this being productive is fun",good
I soooo love this app. I am not a gamer but gamifying my habits makes it more interactive. You wouldn't want your avatar to die so you'll do your tasks.,good
"This app has helped me make my days more productive, and I like the way it's put together. Two suggestions for the devs: 1. Introduce an option to stay indefinitely at one level, only needing that fixed amount of xp to refill your hp. With the ever increasing xp requirement, eventually I won't be able to keep levelling up and will start dying, and that'll be demotivating. 2. Make a holiday mode that has a different set of dailies/habits. I'd like to have different goals on holiday.",good
I am in the unique circumstance of liking to gamify my life and also being horrible at incentivizing doing daily chores. This is literally the perfect app for me.,good
"So far, I love this app and the idea behind it. It holds me accountable for my tasks and habits which i really love. I would totally give it a shot.",good
"I moved to a new phone and can't restore my paid Pro login, so now I'm limited to the features of the free version.",poor
